date,city,area,hour,season,temperature,day_of_week,is_weekend,load_shedding_hours
2022-01-07,Peshawar,Hayatabad,18,Winter,13.5,Friday,0,3.67
2022-01-07,Quetta,Zarghoon Road,10,Winter,5.8,Friday,0,2.28
2022-01-08,Islamabad,Bani Gala,2,Winter,11.0,Saturday,1,0.52
2022-01-08,Karachi,Gulistan-e-Johar,1,Winter,15.6,Saturday,1,0.74
2022-01-08,Lahore,Wapda Town,1,Winter,14.5,Saturday,1,0.92
2022-01-08,Lahore,Samanabad,2,Winter,14.1,Saturday,1,2.13
2022-01-08,Lahore,Bahria Town Lahore,7,Winter,15.0,Saturday,1,2.19
2022-01-08,Lahore,DHA Lahore,22,Winter,13.6,Saturday,1,2.85
2022-01-08,Peshawar,Warsak Road,5,Winter,13.4,Saturday,1,1.42
2022-01-08,Peshawar,Gulbahar,7,Winter,17.1,Saturday,1,4.44
2022-01-08,Peshawar,Karkhano Market,15,Winter,13.6,Saturday,1,4.42
2022-01-08,Quetta,Hazara Town,6,Winter,3.8,Saturday,1,7.48
2022-01-08,Quetta,Hazara Town,21,Winter,15.1,Saturday,1,9.54
2022-01-09,Islamabad,E-11,11,Winter,12.0,Sunday,1,0.59
2022-01-09,Karachi,Orangi Town,2,Winter,15.6,Sunday,1,0.88
2022-01-09,Karachi,Lyari,4,Winter,14.5,Sunday,1,1.31
2022-01-09,Lahore,Allama Iqbal Town,15,Winter,11.4,Sunday,1,3.35
2022-01-09,Lahore,Johar Town,18,Winter,16.4,Sunday,1,4.57
2022-01-09,Peshawar,Dalazak Road,9,Winter,12.6,Sunday,1,6.89
2022-01-10,Islamabad,G-13,9,Winter,14.5,Monday,0,3.56
2022-01-10,Islamabad,G-11,10,Winter,11.6,Monday,0,1.08
2022-01-10,Karachi,Lyari,15,Winter,17.6,Monday,0,3.64
2022-01-10,Peshawar,Peshawar Saddar,6,Winter,13.8,Monday,0,4.94
2022-01-10,Peshawar,Gulbahar,10,Winter,9.9,Monday,0,4.1
2022-01-10,Peshawar,Peshawar Saddar,20,Winter,13.1,Monday,0,5.72
2022-01-10,Peshawar,Karkhano Market,21,Winter,14.6,Monday,0,10.7
2022-01-11,Islamabad,F-10,22,Winter,11.9,Tuesday,0,0.82
2022-01-11,Karachi,DHA Karachi,0,Winter,19.8,Tuesday,0,0.05
2022-01-11,Karachi,Lyari,7,Winter,14.6,Tuesday,0,6.04
2022-01-11,Lahore,Samanabad,11,Winter,13.8,Tuesday,0,4.97
2022-01-11,Peshawar,Warsak Road,12,Winter,14.9,Tuesday,0,5.66
2022-01-11,Quetta,Satellite Town Quetta,9,Winter,8.0,Tuesday,0,5.3
2022-01-12,Islamabad,G-11,14,Winter,12.4,Wednesday,0,1.39
2022-01-12,Islamabad,G-13,17,Winter,15.0,Wednesday,0,2.32
2022-01-12,Karachi,Gulistan-e-Johar,0,Winter,18.8,Wednesday,0,1.17
2022-01-12,Karachi,DHA Karachi,2,Winter,13.4,Wednesday,0,0.43
2022-01-12,Karachi,Saddar,9,Winter,11.3,Wednesday,0,2.7
2022-01-12,Karachi,Gulistan-e-Johar,17,Winter,14.9,Wednesday,0,2.88
2022-01-12,Karachi,Gulistan-e-Johar,22,Winter,16.5,Wednesday,0,3.09
2022-01-12,Peshawar,Warsak Road,21,Winter,12.8,Wednesday,0,8.78
2022-01-12,Quetta,Quetta Cantt,1,Winter,8.2,Wednesday,0,0.96
2022-01-13,Islamabad,G-13,0,Winter,12.3,Thursday,0,1.46
2022-01-13,Islamabad,I-8,4,Winter,14.4,Thursday,0,1.22
2022-01-13,Islamabad,I-8,11,Winter,11.3,Thursday,0,1.22
2022-01-13,Islamabad,Blue Area,12,Winter,13.8,Thursday,0,0.66
2022-01-13,Karachi,Nazimabad,12,Winter,13.2,Thursday,0,2.55
2022-01-13,Lahore,Wapda Town,4,Winter,12.9,Thursday,0,0.96
2022-01-13,Lahore,Johar Town,10,Winter,18.0,Thursday,0,2.84
2022-01-13,Peshawar,Peshawar Cantt,4,Winter,13.6,Thursday,0,0.77
2022-01-13,Peshawar,Dalazak Road,15,Winter,14.6,Thursday,0,6.18
2022-01-14,Islamabad,Bahria Town Islamabad,2,Winter,14.3,Friday,0,0.39
2022-01-14,Islamabad,G-11,10,Winter,15.2,Friday,0,0.96
2022-01-14,Islamabad,E-11,22,Winter,13.1,Friday,0,1.88
2022-01-14,Karachi,Malir,7,Winter,15.8,Friday,0,4.45
2022-01-14,Lahore,Allama Iqbal Town,10,Winter,16.1,Friday,0,2.63
2022-01-14,Lahore,Samanabad,14,Winter,16.1,Friday,0,5.21
2022-01-14,Lahore,Lahore Cantt,23,Winter,15.9,Friday,0,2.98
2022-01-15,Islamabad,G-13,21,Winter,11.7,Saturday,1,3.04
2022-01-15,Karachi,Orangi Town,7,Winter,17.0,Saturday,1,4.82
2022-01-15,Karachi,DHA Karachi,23,Winter,17.8,Saturday,1,1.78
2022-01-15,Lahore,Gulberg,7,Winter,14.5,Saturday,1,1.79
2022-01-15,Peshawar,University Town,18,Winter,13.2,Saturday,1,3.79
2022-01-15,Quetta,Sariab Road,23,Winter,13.8,Saturday,1,5.92
2022-01-16,Islamabad,E-11,2,Winter,16.4,Sunday,1,0.62
2022-01-16,Karachi,Nazimabad,5,Winter,13.0,Sunday,1,0.64
2022-01-16,Karachi,DHA Karachi,17,Winter,16.0,Sunday,1,1.58
2022-01-16,Lahore,Allama Iqbal Town,20,Winter,14.2,Sunday,1,4.49
2022-01-17,Karachi,Gulistan-e-Johar,14,Winter,13.8,Monday,0,2.05
2022-01-17,Karachi,DHA Karachi,18,Winter,16.7,Monday,0,2.59
2022-01-17,Peshawar,University Town,0,Winter,10.7,Monday,0,0.53
2022-01-17,Quetta,Prince Road,5,Winter,14.5,Monday,0,2.0
2022-01-18,Islamabad,F-8,23,Winter,7.7,Tuesday,0,0.59
2022-01-18,Lahore,DHA Lahore,18,Winter,12.4,Tuesday,0,3.74
2022-01-18,Lahore,Township,22,Winter,13.5,Tuesday,0,8.93
2022-01-18,Peshawar,Gulbahar,9,Winter,10.8,Tuesday,0,5.03
2022-01-18,Peshawar,Warsak Road,11,Winter,17.0,Tuesday,0,6.3
2022-01-18,Peshawar,Dalazak Road,14,Winter,14.3,Tuesday,0,5.86
2022-01-18,Quetta,Jinnah Town,0,Winter,6.7,Tuesday,0,1.07
2022-01-18,Quetta,Prince Road,5,Winter,8.2,Tuesday,0,1.52
2022-01-18,Quetta,Quetta Cantt,7,Winter,11.8,Tuesday,0,3.91
2022-01-19,Islamabad,E-11,11,Winter,13.9,Wednesday,0,0.55
2022-01-19,Karachi,Nazimabad,1,Winter,15.7,Wednesday,0,1.0
2022-01-19,Karachi,Lyari,3,Winter,13.5,Wednesday,0,0.98
2022-01-19,Peshawar,University Town,15,Winter,13.3,Wednesday,0,1.73
2022-01-19,Quetta,Jinnah Town,2,Winter,3.6,Wednesday,0,1.17
2022-01-19,Quetta,Jinnah Town,5,Winter,8.4,Wednesday,0,0.94
2022-01-19,Quetta,Satellite Town Quetta,14,Winter,12.3,Wednesday,0,4.42
2022-01-20,Islamabad,Blue Area,7,Winter,7.7,Thursday,0,1.73
2022-01-20,Karachi,Gulistan-e-Johar,17,Winter,12.5,Thursday,0,1.67
2022-01-20,Lahore,Township,21,Winter,10.6,Thursday,0,8.51
2022-01-20,Lahore,Model Town,21,Winter,17.6,Thursday,0,2.48
2022-01-20,Lahore,Model Town,23,Winter,13.2,Thursday,0,1.89
2022-01-20,Peshawar,Peshawar Saddar,20,Winter,8.1,Thursday,0,6.14
2022-01-21,Islamabad,DHA Islamabad,13,Winter,9.0,Friday,0,0.99
2022-01-21,Peshawar,Peshawar Cantt,6,Winter,15.2,Friday,0,3.02
2022-01-21,Peshawar,Hayatabad,10,Winter,13.2,Friday,0,1.86
2022-01-21,Peshawar,Gulbahar,10,Winter,19.5,Friday,0,3.07
2022-01-21,Peshawar,University Town,11,Winter,13.9,Friday,0,1.76
2022-01-22,Islamabad,Bahria Town Islamabad,1,Winter,11.7,Saturday,1,0.0
2022-01-22,Lahore,Bahria Town Lahore,2,Winter,17.5,Saturday,1,1.36
2022-01-22,Lahore,Johar Town,11,Winter,15.9,Saturday,1,1.98
2022-01-22,Peshawar,Karkhano Market,4,Winter,12.5,Saturday,1,1.92
2022-01-22,Peshawar,Hayatabad,8,Winter,8.6,Saturday,1,2.29
2022-01-22,Peshawar,Warsak Road,14,Winter,15.9,Saturday,1,5.53
2022-01-22,Peshawar,University Town,22,Winter,15.8,Saturday,1,3.21
2022-01-22,Quetta,Satellite Town Quetta,12,Winter,8.7,Saturday,1,3.46
2022-01-23,Islamabad,DHA Islamabad,16,Winter,13.5,Sunday,1,0.75
2022-01-23,Peshawar,Gulbahar,11,Winter,12.5,Sunday,1,2.67
2022-01-24,Islamabad,E-11,14,Winter,10.4,Monday,0,0.69
2022-01-24,Karachi,Korangi,10,Winter,16.8,Monday,0,3.44
2022-01-24,Karachi,Malir,12,Winter,12.3,Monday,0,3.73
2022-01-24,Lahore,DHA Lahore,20,Winter,13.5,Monday,0,3.83
2022-01-24,Lahore,Model Town,21,Winter,16.4,Monday,0,3.07
2022-01-24,Quetta,Sariab Road,2,Winter,6.4,Monday,0,2.64
2022-01-24,Quetta,Zarghoon Road,2,Winter,8.1,Monday,0,1.33
2022-01-24,Quetta,Prince Road,17,Winter,7.5,Monday,0,4.04
2022-01-25,Islamabad,G-13,7,Winter,17.1,Tuesday,0,3.08
2022-01-25,Karachi,DHA Karachi,10,Winter,18.3,Tuesday,0,1.4
2022-01-25,Quetta,Jinnah Town,1,Winter,11.7,Tuesday,0,1.21
2022-01-25,Quetta,Hazara Town,12,Winter,10.0,Tuesday,0,6.62
2022-01-25,Quetta,Prince Road,15,Winter,7.5,Tuesday,0,4.52
2022-01-26,Islamabad,Bahria Town Islamabad,11,Winter,16.1,Wednesday,0,0.56
2022-01-26,Lahore,Samanabad,20,Winter,12.0,Wednesday,0,8.11
2022-01-26,Peshawar,Peshawar Saddar,6,Winter,14.1,Wednesday,0,4.65
2022-01-26,Peshawar,University Town,9,Winter,10.5,Wednesday,0,3.14
2022-01-26,Quetta,Sariab Road,20,Winter,10.5,Wednesday,0,11.04
2022-01-27,Karachi,SITE Area,1,Winter,10.3,Thursday,0,0.83
2022-01-27,Karachi,DHA Karachi,12,Winter,13.8,Thursday,0,1.35
2022-01-27,Karachi,Orangi Town,17,Winter,14.7,Thursday,0,3.77
2022-01-27,Lahore,Gulberg,11,Winter,11.2,Thursday,0,2.59
2022-01-27,Lahore,Samanabad,16,Winter,17.3,Thursday,0,5.12
2022-01-27,Peshawar,Gulbahar,1,Winter,11.0,Thursday,0,1.57
2022-01-27,Peshawar,Karkhano Market,8,Winter,13.4,Thursday,0,8.08
2022-01-27,Peshawar,Peshawar Cantt,12,Winter,19.8,Thursday,0,2.37
2022-01-27,Quetta,Sariab Road,2,Winter,6.9,Thursday,0,2.35
2022-01-27,Quetta,Satellite Town Quetta,4,Winter,13.1,Thursday,0,1.05
2022-01-27,Quetta,Hazara Town,8,Winter,8.4,Thursday,0,8.61
2022-01-28,Islamabad,G-13,16,Winter,12.9,Friday,0,2.9
2022-01-28,Karachi,Gulshan-e-Iqbal,8,Winter,16.3,Friday,0,2.82
2022-01-28,Lahore,Allama Iqbal Town,19,Winter,15.5,Friday,0,5.12
2022-01-28,Quetta,Nawa Killi,13,Winter,8.6,Friday,0,5.87
2022-01-28,Quetta,Sariab Road,22,Winter,7.8,Friday,0,10.83
2022-01-29,Islamabad,Bahria Town Islamabad,18,Winter,9.3,Saturday,1,1.27
2022-01-29,Peshawar,Hayatabad,5,Winter,10.0,Saturday,1,1.39
2022-01-30,Karachi,Gulistan-e-Johar,11,Winter,13.5,Sunday,1,1.58
2022-01-30,Karachi,Malir,22,Winter,15.8,Sunday,1,4.99
2022-01-30,Peshawar,Gulbahar,5,Winter,10.9,Sunday,1,0.98
2022-01-30,Peshawar,Karkhano Market,11,Winter,16.4,Sunday,1,5.74
2022-01-30,Peshawar,University Town,11,Winter,13.2,Sunday,1,2.31
2022-01-30,Peshawar,Gulbahar,21,Winter,13.8,Sunday,1,5.15
2022-01-30,Quetta,Sariab Road,14,Winter,11.0,Sunday,1,5.01
2022-01-31,Islamabad,Bani Gala,15,Winter,13.4,Monday,0,0.65
2022-01-31,Lahore,Model Town,9,Winter,17.8,Monday,0,3.09
2022-01-31,Quetta,Nawa Killi,12,Winter,10.6,Monday,0,6.19
2022-01-31,Quetta,Sariab Road,15,Winter,7.0,Monday,0,6.56
2022-02-01,Islamabad,F-10,6,Winter,14.2,Tuesday,0,1.35
2022-02-01,Lahore,Model Town,0,Winter,11.9,Tuesday,0,0.85
2022-02-01,Peshawar,Dalazak Road,17,Winter,16.3,Tuesday,0,5.1
2022-02-01,Peshawar,Peshawar Saddar,17,Winter,11.6,Tuesday,0,3.94
2022-02-01,Peshawar,Peshawar Saddar,19,Winter,15.0,Tuesday,0,6.42
2022-02-01,Quetta,Satellite Town Quetta,17,Winter,6.1,Tuesday,0,3.26
2022-02-02,Islamabad,Blue Area,2,Winter,13.7,Wednesday,0,0.27
2022-02-02,Karachi,Lyari,12,Winter,14.1,Wednesday,0,3.26
2022-02-02,Karachi,Orangi Town,13,Winter,14.5,Wednesday,0,3.91
2022-02-02,Quetta,Hazara Town,17,Winter,10.0,Wednesday,0,6.24
2022-02-03,Islamabad,Bani Gala,3,Winter,11.4,Thursday,0,0.17
2022-02-03,Islamabad,Blue Area,8,Winter,13.6,Thursday,0,1.46
2022-02-03,Islamabad,G-13,17,Winter,10.9,Thursday,0,2.62
2022-02-03,Karachi,Clifton,4,Winter,12.8,Thursday,0,0.97
2022-02-03,Lahore,Township,10,Winter,8.7,Thursday,0,6.3
2022-02-03,Peshawar,Hayatabad,11,Winter,13.8,Thursday,0,2.28
2022-02-03,Quetta,Hazara Town,12,Winter,9.5,Thursday,0,6.18
2022-02-04,Islamabad,Blue Area,17,Winter,9.3,Friday,0,0.94
2022-02-04,Peshawar,Hayatabad,22,Winter,14.9,Friday,0,3.43
2022-02-04,Quetta,Quetta Cantt,18,Winter,6.1,Friday,0,4.76
2022-02-04,Quetta,Sariab Road,19,Winter,6.5,Friday,0,10.92
2022-02-04,Quetta,Hazara Town,23,Winter,4.6,Friday,0,7.08
2022-02-05,Islamabad,Bahria Town Islamabad,0,Winter,12.1,Saturday,1,0.45
2022-02-05,Islamabad,E-11,17,Winter,9.0,Saturday,1,0.78
2022-02-05,Karachi,DHA Karachi,16,Winter,15.3,Saturday,1,1.32
2022-02-05,Quetta,Nawa Killi,3,Winter,11.7,Saturday,1,3.31
2022-02-05,Quetta,Sariab Road,14,Winter,10.0,Saturday,1,5.69
2022-02-06,Karachi,Saddar,3,Winter,18.4,Sunday,1,0.77
2022-02-06,Karachi,Gulshan-e-Iqbal,17,Winter,19.1,Sunday,1,1.76
2022-02-06,Lahore,Gulberg,23,Winter,14.4,Sunday,1,1.75
2022-02-06,Peshawar,Karkhano Market,5,Winter,11.7,Sunday,1,1.97
2022-02-06,Quetta,Sariab Road,10,Winter,8.4,Sunday,1,6.1
2022-02-07,Islamabad,F-8,18,Winter,10.6,Monday,0,1.24
2022-02-07,Islamabad,DHA Islamabad,19,Winter,10.8,Monday,0,0.93
2022-02-07,Lahore,Township,1,Winter,13.5,Monday,0,2.49
2022-02-07,Lahore,DHA Lahore,19,Winter,19.1,Monday,0,4.01
2022-02-07,Lahore,Gulberg,21,Winter,14.6,Monday,0,3.47
2022-02-07,Peshawar,Peshawar Cantt,0,Winter,11.5,Monday,0,1.0
2022-02-07,Peshawar,Dalazak Road,5,Winter,12.3,Monday,0,2.8
2022-02-08,Karachi,Clifton,7,Winter,17.8,Tuesday,0,2.67
2022-02-08,Karachi,Orangi Town,9,Winter,18.9,Tuesday,0,4.83
2022-02-08,Lahore,Allama Iqbal Town,5,Winter,12.2,Tuesday,0,1.62
2022-02-08,Peshawar,Gulbahar,4,Winter,14.8,Tuesday,0,0.62
2022-02-08,Quetta,Zarghoon Road,22,Winter,7.7,Tuesday,0,3.58
2022-02-09,Islamabad,Bani Gala,22,Winter,11.8,Wednesday,0,2.41
2022-02-09,Karachi,SITE Area,13,Winter,20.4,Wednesday,0,3.85
2022-02-09,Quetta,Sariab Road,10,Winter,10.8,Wednesday,0,5.97
2022-02-10,Islamabad,Bani Gala,14,Winter,13.0,Thursday,0,0.97
2022-02-10,Islamabad,G-13,21,Winter,13.3,Thursday,0,3.88
2022-02-10,Islamabad,Blue Area,22,Winter,11.3,Thursday,0,1.07
2022-02-10,Peshawar,Peshawar Cantt,9,Winter,13.6,Thursday,0,3.11
2022-02-10,Peshawar,Hayatabad,13,Winter,14.4,Thursday,0,1.84
2022-02-10,Peshawar,Karkhano Market,17,Winter,17.9,Thursday,0,5.36
2022-02-10,Peshawar,Hayatabad,23,Winter,9.1,Thursday,0,1.92
2022-02-10,Quetta,Prince Road,16,Winter,13.2,Thursday,0,4.66
2022-02-10,Quetta,Satellite Town Quetta,23,Winter,10.0,Thursday,0,4.54
2022-02-11,Islamabad,Blue Area,2,Winter,12.7,Friday,0,0.44
2022-02-11,Karachi,Clifton,4,Winter,15.8,Friday,0,0.71
2022-02-11,Karachi,Nazimabad,9,Winter,15.8,Friday,0,3.2
2022-02-11,Karachi,Gulshan-e-Iqbal,15,Winter,15.6,Friday,0,2.53
2022-02-11,Lahore,Allama Iqbal Town,13,Winter,14.4,Friday,0,3.27
2022-02-11,Peshawar,Karkhano Market,17,Winter,15.0,Friday,0,5.3
2022-02-11,Peshawar,Karkhano Market,20,Winter,9.3,Friday,0,9.87
2022-02-11,Quetta,Prince Road,14,Winter,7.1,Friday,0,4.45
2022-02-12,Islamabad,DHA Islamabad,13,Winter,13.3,Saturday,1,1.3
2022-02-12,Karachi,DHA Karachi,1,Winter,11.8,Saturday,1,0.92
2022-02-12,Karachi,Clifton,15,Winter,11.1,Saturday,1,1.33
2022-02-12,Karachi,Nazimabad,16,Winter,14.5,Saturday,1,2.13
2022-02-12,Lahore,DHA Lahore,9,Winter,16.7,Saturday,1,2.24
2022-02-12,Quetta,Nawa Killi,8,Winter,13.9,Saturday,1,8.12
2022-02-12,Quetta,Jinnah Town,18,Winter,16.9,Saturday,1,3.87
2022-02-12,Quetta,Hazara Town,19,Winter,8.8,Saturday,1,9.49
2022-02-13,Islamabad,F-8,10,Winter,9.5,Sunday,1,0.2
2022-02-13,Islamabad,Blue Area,14,Winter,14.5,Sunday,1,0.7
2022-02-13,Islamabad,Blue Area,15,Winter,14.5,Sunday,1,0.38
2022-02-13,Lahore,Model Town,4,Winter,12.9,Sunday,1,1.06
2022-02-13,Peshawar,Peshawar Cantt,0,Winter,15.7,Sunday,1,0.58
2022-02-13,Peshawar,Hayatabad,1,Winter,17.6,Sunday,1,0.54
2022-02-13,Peshawar,University Town,6,Winter,16.0,Sunday,1,2.07
2022-02-13,Peshawar,Gulbahar,12,Winter,8.1,Sunday,1,3.87
2022-02-13,Peshawar,Hayatabad,14,Winter,15.1,Sunday,1,2.02
2022-02-13,Peshawar,Gulbahar,19,Winter,13.6,Sunday,1,4.74
2022-02-13,Peshawar,Warsak Road,22,Winter,7.5,Sunday,1,8.25
2022-02-13,Quetta,Jinnah Town,8,Winter,8.5,Sunday,1,2.87
2022-02-14,Islamabad,G-13,10,Winter,10.0,Monday,0,1.88
2022-02-14,Islamabad,I-8,19,Winter,14.1,Monday,0,2.04
2022-02-14,Karachi,Nazimabad,13,Winter,13.1,Monday,0,1.8
2022-02-14,Karachi,Clifton,17,Winter,14.1,Monday,0,0.81
2022-02-14,Quetta,Prince Road,7,Winter,13.2,Monday,0,6.1
2022-02-14,Quetta,Zarghoon Road,10,Winter,11.7,Monday,0,2.81
2022-02-15,Islamabad,F-8,4,Winter,10.7,Tuesday,0,0.49
2022-02-15,Islamabad,Bahria Town Islamabad,6,Winter,11.6,Tuesday,0,1.38
2022-02-15,Islamabad,Bani Gala,14,Winter,13.6,Tuesday,0,0.85
2022-02-15,Karachi,Malir,23,Winter,16.2,Tuesday,0,3.38
2022-02-15,Lahore,Johar Town,19,Winter,12.6,Tuesday,0,5.86
2022-02-15,Peshawar,Dalazak Road,7,Winter,10.3,Tuesday,0,7.94
2022-02-15,Quetta,Prince Road,17,Winter,10.3,Tuesday,0,4.0
2022-02-16,Islamabad,E-11,14,Winter,16.5,Wednesday,0,0.73
2022-02-16,Karachi,Gulshan-e-Iqbal,7,Winter,14.3,Wednesday,0,2.59
2022-02-16,Karachi,Orangi Town,14,Winter,17.3,Wednesday,0,2.89
2022-02-16,Lahore,Johar Town,0,Winter,13.8,Wednesday,0,1.29
2022-02-16,Lahore,Wapda Town,11,Winter,16.7,Wednesday,0,3.66
2022-02-16,Peshawar,Hayatabad,18,Winter,13.4,Wednesday,0,3.82
2022-02-16,Peshawar,Karkhano Market,20,Winter,9.4,Wednesday,0,9.6
2022-02-16,Quetta,Satellite Town Quetta,22,Winter,3.5,Wednesday,0,6.79
2022-02-17,Karachi,Gulistan-e-Johar,8,Winter,14.6,Thursday,0,3.26
2022-02-17,Lahore,Model Town,20,Winter,14.8,Thursday,0,3.2
2022-02-17,Quetta,Jinnah Town,14,Winter,10.7,Thursday,0,2.6
2022-02-17,Quetta,Quetta Cantt,21,Winter,8.1,Thursday,0,4.96
2022-02-18,Islamabad,I-8,2,Winter,17.9,Friday,0,0.0
2022-02-18,Islamabad,E-11,3,Winter,11.9,Friday,0,0.0
2022-02-18,Islamabad,Blue Area,6,Winter,13.2,Friday,0,0.92
2022-02-18,Karachi,Gulshan-e-Iqbal,3,Winter,14.6,Friday,0,1.02
2022-02-18,Lahore,Gulberg,0,Winter,12.6,Friday,0,0.16
2022-02-18,Lahore,Allama Iqbal Town,20,Winter,12.6,Friday,0,5.51
2022-02-18,Lahore,Township,22,Winter,17.0,Friday,0,9.09
2022-02-18,Peshawar,University Town,22,Winter,12.0,Friday,0,3.3
2022-02-18,Peshawar,Karkhano Market,22,Winter,16.5,Friday,0,9.25
2022-02-19,Karachi,Gulistan-e-Johar,0,Winter,20.2,Saturday,1,0.67
2022-02-19,Karachi,Lyari,14,Winter,14.1,Saturday,1,2.8
2022-02-19,Peshawar,Karkhano Market,1,Winter,13.6,Saturday,1,2.08
2022-02-19,Quetta,Satellite Town Quetta,16,Winter,7.8,Saturday,1,3.66
2022-02-20,Islamabad,E-11,5,Winter,14.0,Sunday,1,0.0
2022-02-20,Islamabad,E-11,5,Winter,11.4,Sunday,1,0.45
2022-02-20,Islamabad,Bahria Town Islamabad,15,Winter,13.2,Sunday,1,1.48
2022-02-20,Islamabad,E-11,17,Winter,13.4,Sunday,1,0.53
2022-02-20,Peshawar,Dalazak Road,4,Winter,11.3,Sunday,1,1.9
2022-02-20,Peshawar,Dalazak Road,12,Winter,13.5,Sunday,1,5.14
2022-02-21,Islamabad,G-13,4,Winter,10.2,Monday,0,0.91
2022-02-21,Islamabad,Blue Area,19,Winter,13.8,Monday,0,1.4
2022-02-21,Islamabad,Bani Gala,19,Winter,13.5,Monday,0,1.87
2022-02-21,Lahore,Gulberg,15,Winter,18.9,Monday,0,1.34
2022-02-21,Quetta,Hazara Town,8,Winter,9.0,Monday,0,9.56
2022-02-21,Quetta,Sariab Road,20,Winter,9.0,Monday,0,11.24
2022-02-22,Islamabad,Bahria Town Islamabad,0,Winter,15.7,Tuesday,0,1.07
2022-02-22,Islamabad,F-10,6,Winter,6.6,Tuesday,0,1.12
2022-02-22,Lahore,Model Town,10,Winter,13.8,Tuesday,0,2.77
2022-02-22,Peshawar,Peshawar Cantt,17,Winter,11.8,Tuesday,0,1.72
2022-02-22,Peshawar,Dalazak Road,19,Winter,12.6,Tuesday,0,9.93
2022-02-22,Quetta,Hazara Town,0,Winter,11.3,Tuesday,0,2.76
2022-02-23,Islamabad,G-13,9,Winter,15.1,Wednesday,0,2.82
2022-02-23,Islamabad,Blue Area,19,Winter,15.6,Wednesday,0,1.75
2022-02-23,Karachi,Saddar,20,Winter,12.9,Wednesday,0,3.61
2022-02-23,Lahore,DHA Lahore,3,Winter,16.2,Wednesday,0,0.77
2022-02-23,Lahore,DHA Lahore,7,Winter,13.7,Wednesday,0,2.73
